"Atlantic","","1.0","1.0","-1.0","40.0","3.0","http://dbpedia.org/page/Linux","","","","9.93"
"Atlantic","","2.0","2.0","-1.0","80.0","4.0","http://dbpedia.org/page/Linux","","","","19.94"
"Atlantic","","2.0","4.0","-1.0","100.0","5.0","http://dbpedia.org/page/Linux","","","","39.95"
"Atlantic","","4.0","8.0","-1.0","160.0","6.0","http://dbpedia.org/page/Linux","","","","79.97"
"Atlantic","","8.0","16.0","-1.0","200.0","7.0","http://dbpedia.org/page/Linux","","","","159.94"
"Atlantic","","1.0","1.0","-1.0","40.0","3.0","http://dbpedia.org/page/Microsoft_Windows","","","","14.97"
"Atlantic","","2.0","2.0","-1.0","80.0","4.0","http://dbpedia.org/page/Microsoft_Windows","","","","29.94"
"Atlantic","","2.0","4.0","-1.0","100.0","5.0","http://dbpedia.org/page/Microsoft_Windows","","","","59.96"
"Atlantic","","4.0","8.0","-1.0","160.0","6.0","http://dbpedia.org/page/Microsoft_Windows","","","","119.99"
"Atlantic","","8.0","16.0","-1.0","200.0","7.0","http://dbpedia.org/page/Microsoft_Windows","","","","239.98"
